state_name,state_code,district_name,district_code,subdistrict_name,subdistrict_code,cluster_name,village_name,udise_village_code,pincode,ward,school_name,udise_school_code,school_category,school_type,management,year_of_establishment,longitude,latitude,status,location_type,class_from,class_to,aff_board_sec,aff_board_h_sec,pre_primary,class_rooms,other_rooms,total_teachers,pre_primary_students,i_students,ii_students,iii_students,iv_students,v_students,vi_students,vii_students,viii_students,ix_students,x_students,xi_students,xii_students,class_students,class_with_pre_primary_students
"Uttarakhand","05","Nainital","051","Kotabag","0395","Doola","Riyaar Malla","51105063","263159","","GPS RIYAR MALLA","5110506301","Primary","Co. Educational","Department of Education","1996","79.2998","29.4474","Operational","Rural","1.0","5.0","","","0.0","2.0","1.0","2.0","0.0","9.0","6.0","6.0","6.0","8.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","35.0","35.0"
"Andhra Pradesh","28","Guntur","506","","None","Mpups (Asm) Rentachintala","Rentachintala","281702005","","","BALAVIKAS EMPS RENTACHINTALA","28170200524","Primary","Co. Educational","Private Unaided (Recognized)","2000","79.5534","16.5544","Operational","Rural","1.0","5.0","","","0.0","13.0","3.0","9.0","108.0","44.0","65.0","63.0","61.0","84.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","317.0","425.0"
"Karnataka","29","Bengaluru Rural","526","Hoskote","5766","Shivanapura","Siddapura","292104079","","","G LPS SIDDAPURA","29210407901","Primary","Co. Educational","Department of Education","1997","77.868056","13.131944","Operational","Rural","1.0","5.0","","","0.0","2.0","3.0","0.0","0.0","3.0","4.0","0.0","2.0","3.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","12.0","12.0"
"Assam","18","Udalguri","617","Khoirabari","6553","Bhuyankhat","Bhuyankhat","182601258","784528","","BHUYANKHAT DANSWRANG L.P.S.","18260125803","Primary","Co. Educational","Department of Education","1984","91.887233","26.572833","Operational","Rural","1.0","5.0","","","0.0","2.0","0.0","2.0","0.0","5.0","5.0","2.0","4.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","18.0","18.0"
"West Bengal","19","Kolkata","315","Kolkata Municipal Corporation","None","Victoria Institution(Pry)","Ward-40","191701043","","WARD-40","BHAGABATI BALIKA VIDYALAYA","19170104304","Primary","Girls Only","Department of Education","1965","88.36513","22.57564","Operational","Urban","1.0","4.0","","","0.0","4.0","0.0","3.0","2.0","2.0","4.0","4.0","5.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","15.0","17.0"
"Maharashtra","27","Ahmednagar","466","Rahuri","4286","Umbare","Chedgaon","272609081","414105","","Z.P.P.SCHOOL GOPALWADI","27260908101","Primary","Co. Educational","Local body","1961","74.772285","19.364983","Operational","Rural","1.0","4.0","","","1.0","2.0","0.0","2.0","0.0","9.0","7.0","11.0","13.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","40.0","40.0"
"Karnataka","29","Shivamogga","547","Sorab","5903","Mallapura","Dwarahalli","291506039","","","GHPS DWARAHALLI","29150603901","Primary with Upper Primary","Co. Educational","Department of Education","1949","75.129181","14.588012","Operational","Rural","1.0","7.0","","","0.0","4.0","2.0","4.0","0.0","7.0","10.0","16.0","12.0","11.0","13.0","10.0","0.0","0.0","0.0","0.0","0.0","79.0","79.0"
"Odisha","21","Cuttack","350","Tigiria","3345","Bindhanima Cps","Bindhanima","211214014","","","SARASWATI SHISHU MANDIR  BINDANIMA","21121401452","Primary with Upper Primary","Co. Educational","Private Unaided (Recognized)","1999","85.494965","20.45043","Operational","Rural","1.0","8.0","","","0.0","12.0","0.0","21.0","87.0","32.0","78.0","44.0","55.0","28.0","31.0","29.0","12.0","0.0","0.0","0.0","0.0","309.0","396.0"
"Karnataka","29","Kolar","542","Kolar","5870","Medihala","Dhanamatanahalli","291907091","","","GLPS DHANAMATNAHALLI","29190709101","Primary","Co. Educational","Department of Education","2019","78.061","13.167","Operational","Rural","1.0","5.0","","","0.0","2.0","0.0","2.0","0.0","2.0","3.0","7.0","4.0","9.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","25.0","25.0"
"Uttar Pradesh","09","Saharanpur","177","","None","Malhipur","Kanker Kui","90108098","247001","","GEETANJLI PUBLIC SCHOOL","9010809805","Primary","Co. Educational","Private Unaided (Recognized)","2006","77.3114","29.5338","Operational","Rural","1.0","5.0","","","0.0","5.0","0.0","5.0","0.0","19.0","11.0","14.0","7.0","11.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","62.0","62.0"
"Jharkhand","20","Ramgarh","607","Patratu","3174","U.M.S.Katiya","Katiya","202413080","825199","","D.A.V PATARATU","20241308004","Pri. Upper Pri. and Secondary Only","Co. Educational","Private Unaided (Recognized)","1997","85.282472","23.64275","Operational","Rural","1.0","10.0","CBSE","","0.0","22.0","51.0","29.0","0.0","17.0","24.0","26.0","31.0","36.0","40.0","40.0","40.0","73.0","83.0","0.0","0.0","410.0","410.0"
